ProjectName,PLC_Name,BlockName,BlockType,Language,AttributeName,AttributeValue,InterfaceSection,InterfaceName,InterfaceDataType,InitialValue,Comment,SourceReference
P24U1_OP6020,PC-System_1,FS_Servo_WriteTraversingBlocks,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_TravBlockInitialize,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_LoadTrvrsBlockVals,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Servo_Move,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Servo_Jog,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Sinamics_Diag,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Servo_Control,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Sinamics_DriveRamToRom,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Sinamics_ReadDriveMessagesDateTime,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Sinamics_ReadDriveParams,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Sinamics_ResourceManager,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Sinamics_RTCSinamicsAcyclic,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Sinamics_WriteDriveParams,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_ShiftControl,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_StationControl,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Task,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,ZeroTaskDB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,FS_GenSubPartNumber,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_GenerateProcessString,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_ParseUnitID,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_VFDControl,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,VfdStartStopFreqPARI,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FC_FanucBrakeCheck,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FB_FanucRobot_Motion_CMD,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,DB_FanucBrakeCheck,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,HMI_FanucFB,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,HMI_FanucFB_DB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,FS_FanucIntfc,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FC_RobotHMI_Cmd,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FC_RobotHMI_Motion,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,AB_FB_TOD_Trig,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FB_IFWC_Motion_CMD,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_IFWC_RobotControl,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,AB_DB_TOD,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,FS_LotScanData,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_SortLotData,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_LotControl,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Alarm_Transfer,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_GetBitNumber,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PNIO_DIAG,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_MaturityCheck,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,LHTTP_Get,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_REST_APIComm_DB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,Sxx_REST_API_InterfaceData,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,FS_REST_APIComm,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_IQT_Events,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,PR_FREE_RUN,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_StateTrace,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,PR_CycleTime,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_TeachPosition,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_TaskData,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_MotorStarterHMI,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_AirFailCheck,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_fbEuchner_MGB,,F_LAD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_Lubrication,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_StationSequence,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_LiftGateLogic,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_TrackRotateSequence,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_eCartSequence,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_ParseUnitID,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,ReadDataSlavePARI,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,WriteDataSlavePARI,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_KeyenceProfiloSensor_LJX8000,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,LSafety_LaserScanner_MicroScan,,F_LAD,,,,,,,,
P24U1_OP6020,PC-System_1,Main_Safety_RTG1,,F_FBD,,,,,,,,
P24U1_OP6020,PC-System_1,PR_ABB_AGVUnloading_Interface,,LAD,,,,,,,,
